Host ^nn++++=HOST-PARASITE
eighth ^rb+cnj+++=eighth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
last ^rb++++=last
tenet ^nn+++??+=tenet,
, ^zz++++=EXTRAWORD
of ^in++++=of
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr:
: ^zz++++=EXTRAWORD
' ^zz++++='the
the ^ati++++=EXTRAWORD
biogeographic ^nn++++=biogeographic
and ^cc++++=and
evolutionary ^jj+atrb+++=evolutionary
history ^nn++++=history
of ^in++++=of
the ^ati++++=the
taxa ^nn+++??+=taxa
makes ^vbz++++=makes
an ^at++++=an
allopatric ^jj+atrb+++=allopatric
phase ^nn++++=phase
very ^ql+amp+++=very
unlikely ^jj++++=unlikely'
' ^zz++++=EXTRAWORD
( ^zz++++=(emphasis
emphasis ^nn++++=EXTRAWORD
theirs ^pp$$++++=theirs,
, ^zz++++=EXTRAWORD
158 ^cd++++=158).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
conforming ^vbg+++xvbg+=conforming
to ^in++++=to
this ^dt+dem+++=this
criterion ^nn++++=criterion
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult,
, ^zz++++=EXTRAWORD
both ^abx++++=both
direct ^jj+atrb+++=direct
and ^cc+phrs+++=and
indirect ^jj+atrb+++=indirect
evidence ^nn+nom+++=evidence
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
imply ^vbi+vprv+++=imply
no ^at++++=no
allopatric ^jj+atrb+++=allopatric
phase ^nn++++=phase
( ^zz++++=(Payne,
payne ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1982 ^cd+date+++=1982;
; ^zz++++=EXTRAWORD
Payne ^np++++=Payne
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Direct ^jj+atrb+++=Direct
evidence ^nn+nom+++=evidence
comes ^vbz++++=comes
from ^in+ppvb+++=from
the ^ati++++=the
geography ^nn++++=geography
of ^in++++=of
Africa ^np++++=Africa;
; ^zz++++=EXTRAWORD
currently ^rb+cnj+++=currently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
populations ^nns+nom+++=populations
are ^vb+ber+vrb++=are
sympatric ^jj+pred+++=sympatric
and ^cc++++=and
there ^ex+pex+++=there
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi++vrb++=be
no ^at++++=no
geographic ^jj+atrb+++=geographic
barrier ^nn++++=barrier
past ^jjb++++=past
or ^cc++++=or
present ^nn++++=present
to ^in++++=to
gene ^np++++=gene
flow ^nn++++=flow
( ^zz++++=(Payne,
payne ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1982 ^cd+date+++=1982).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
interestingly ^rb+cnj+++=interestingly,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
observable ^vbi++++=observable
sympatric ^jj+atrb+++=sympatric
speciation ^nn+nom+++=speciation
currently ^rb++++=currently
occurring ^vbg+++xvbg+=occurring
in ^in++++=in
some ^dti++++=some
Vidua ^np+++??+=Vidua
populations ^nns+nom+++=populations;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
evidence ^nn+nom+++=evidence
indirectly ^rb++++=indirectly
supports ^vbz++++=supports
past ^jjb+atrb+++=past
sympatric ^jj+atrb+++=sympatric
speciation ^nn+nom+++=speciation
since ^cs+sub+++=since
it ^pp3+it+++=it
supports ^vbz++++=supports
the ^ati++++=the
hypothetical ^jj+atrb+++=hypothetical
possibility ^nn+nom+++=possibility
of ^in++++=of
this ^dt+dem+++=this
speciation ^nn+nom+++=speciation
mode ^nn++++=mode
( ^zz++++=(Payne
payne ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
work ^vb++++=work
done ^vbd+++xvbn+=done
in ^in++++=in
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
Payne ^np++++=Payne
and ^cc++++=and
his ^pp$+pp3+++=his
colleagues ^nns++++=colleagues
describe ^vb++++=describe
a ^at++++=a
system ^nn++++=system
apparently ^rb++++=apparently
limited ^jj+++xvbn+=limited
to ^in++++=to
a ^at++++=a
population ^nn+nom+++=population
of ^in++++=of
indigos ^nns+++??+=indigos
living ^vwbg+++xvbg+=living
on ^in++++=on
the ^ati++++=the
Zambezi ^np+++??+=Zambezi
River ^nn++++=River.
. ^zz++++=EXTRAWORD
The ^ati++++=The
populations ^nns+nom+++=populations
consists ^nns+nom+++=consists
of ^in++++=of
V ^zz++++=V.
. ^zz++++=EXTRAWORD
chalybeata ^nn+++??+=chalybeata,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
normal ^jj+atrb+++=normal
host ^nn++++=host,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
senegala ^nn+++??+=senegala,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
novel ^nn++++=novel
host ^nn++++=host,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
nitidula ^nn+++??+=nitidula.
. ^zz++++=EXTRAWORD
Genetic ^jj+atrb+++=Genetic
evidence ^nn+nom+++=evidence
suggests ^vbz+vpub+++=suggests
a ^at++++=a
recent ^jj+atrb+++=recent
switch ^nn++++=switch
of ^in++++=of
V ^zz++++=V.
. ^zz++++=EXTRAWORD
chalybeata ^nn+++??+=chalybeata
from ^in++++=from
L ^zz++++=L.
. ^zz++++=EXTRAWORD
senegala ^nn+++??+=senegala
to ^in++++=to
L ^zz++++=L.
. ^zz++++=EXTRAWORD
nitidula ^nn+++??+=nitidula;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
switch ^nn++++=switch
occurred ^vbd+++xvbn+=occurred
in ^in++++=in
sympatry ^nn++++=sympatry.
. ^zz++++=EXTRAWORD
Importantly ^rb+cnj+++=Importantly,
, ^zz++++=EXTRAWORD
morphological ^jj+atrb+++=morphological
features ^nns++++=features
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
have ^vbi++++=have
lagged ^vprf+++xvbn+=lagged
behind ^in+pl+++=behind
this ^dt+dem+++=this
behavioral ^jj+atrb+++=behavioral
switch ^nn++++=switch
aside ^rp++++=aside
from ^in++++=from
song ^nn++++=song
no ^at++++=no
diagnostic ^jj+atrb+++=diagnostic
technique ^nn++++=technique
can ^md+pos+++=can
distinguish ^vb++++=distinguish
the ^ati++++=the
two ^cd++++=two
' ^zz++++='cultural
cultural ^jj+atrb+++=EXTRAWORD
morphs ^nns+++??+=morphs'.
'. ^nn+++??+=EXTRAWORD
More ^rbr++++=More
interesting ^jj++++=interesting
still ^rb++++=still
are ^vb+ber+vrb++=are
the ^ati++++=the
kinship ^nn+nom+++=kinship
implications ^nns+nom+++=implications
derived ^vbd+++xvbn+=derived
from ^in++++=from
mtdna ^nn+++??+=mtDNA
microsatellite ^nn++++=microsatellite
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
high ^jj+atrb+++=high
incidences ^nns+nom+++=incidences
of ^in++++=of
relatedness ^nns+nom+++=relatedness
between ^in++++=between
the ^ati++++=the
L ^zz++++=L.
. ^zz++++=EXTRAWORD
nitidula ^nn+++??+=nitidula
parasites ^nns++++=parasites;
; ^zz++++=EXTRAWORD
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
genes ^nns++++=genes
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
host ^nn++++=host
switch ^nn++++=switch
occurred ^vbd+++xvbn+=occurred
four ^cd++++=four
specific ^jj+atrb+++=specific
times ^nns++++=times,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
four ^cd++++=four
matrilines ^nns+++??+=matrilines.
. ^zz++++=EXTRAWORD
Essentially ^rb+cnj+++=Essentially,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appears ^vbz+seem+++=appears
that ^tht+vcmp+++=that
the ^ati++++=the
first ^od++++=first
steps ^nns++++=steps
toward ^in++++=toward
speciation ^nn+nom+++=speciation
have ^vb+hv+aux++=have
occurred ^vprf+++xvbnx+=occurred
in ^in++++=in
fact ^nn++++=fact
the ^ati++++=the
L ^zz++++=L.
. ^zz++++=EXTRAWORD
nitidula ^nn+++??+=nitidula
morph ^nn+++??+=morph
was ^vbd+bedz+vrb++=was
even ^rb++++=even
once ^rb+tm+++=once
mistakenly ^rb++++=mistakenly
describe ^vb++++=describe
as ^in++++=as
a ^at++++=a
new ^jj+atrb+++=new
species ^nn++++=species
( ^zz++++=(V.
v ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
incognita ^nn+++??+=incognita
by ^in++++=by
Nicolai ^np+++??+=Nicolai
( ^zz++++=(1972)).
1972) ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Payne ^np++++=Payne
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2002)
2002 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
speculate ^nn+nom+++=speculate
on ^in++++=on
why ^wrb+who+++=why
the ^ati++++=the
switch ^nn++++=switch
occurred ^vbd+++xvbn+=occurred;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
similar ^jj+atrb+++=similar
system ^nn++++=system
described ^vbd+++xvbn+=described
with ^in++++=with
V ^zz++++=V.
. ^zz++++=EXTRAWORD
camerunensis ^nns+++??+=camerunensis
environmental ^jj+atrb+++=environmental
changes ^nns++++=changes
by ^in++++=by
humans ^nns++++=humans
may ^md+pos+++=may
account ^vb++++=account
for ^in++++=for
the ^ati++++=the
host ^nn++++=host
switch ^nn++++=switch
they ^pp3a+pp3+++=they
cite ^np++++=cite
the ^ati++++=the
concurrent ^jj+atrb+++=concurrent
introduction ^nn+nom+++=introduction
of ^in++++=of
wheat ^nn++++=wheat
to ^in++++=to
the ^ati++++=the
region ^nn++++=region
( ^zz++++=(circa
circa ^rb++++=EXTRAWORD
0 ^zz++++=0
A.d.)(payne ^np+++??+=A.D.)(Payne
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
advancement ^nn+nom+++=advancement
of ^in++++=of
genetic ^jj+atrb+++=genetic
technology ^nn++++=technology,
, ^zz++++=EXTRAWORD
a ^at++++=a
vast ^jj+atrb+++=vast
quantity ^nn+nom+++=quantity
of ^in++++=of
data ^nns++++=data
is ^vbz+bez+aux++=is
being ^vbg+beg+aux+xvbg+=being
generated ^vprf+++xvbn+=generated
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
evolutionary ^jj+atrb+++=evolutionary
biology ^nn++++=biology.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
new ^jj+atrb+++=new
information ^nn+nom+++=information
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
applied ^vpsv++by+xvbnx+=applied
by ^in++++=by
many ^ap++++=many
to ^to++++=to
determine ^vbi++++=determine
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
biological ^jj+atrb+++=biological
systems ^nns++++=systems
observed ^vbd+++xvbn+=observed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+aux++=has
generated ^vprf+++xvbnx+=generated
a ^at++++=a
resurgence ^nn+nom+++=resurgence
of ^in++++=of
interest ^nn++++=interest
in ^in++++=in
sympatric ^jj+atrb+++=sympatric
speciation ^nn+nom+++=speciation
( ^zz++++=(Via,
via ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
remains ^nns++++=remains
unclear ^nn+++??+=unclear,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
this ^dt+dem+++=this
new ^jj+atrb+++=new
data ^nns++++=data
will ^md+prd+++=will
decisively ^rb++splt++=decisively
end ^vb++++=end
this ^dt+dem+++=this
debate ^nn++++=debate;
; ^zz++++=EXTRAWORD
nonetheless ^rb+cnj+++=nonetheless,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
visibly ^rb++splt++=visibly
altered ^vprf+++xvbnx+=altered
the ^ati++++=the
way ^nn++++=way
we ^pp1a+pp1+++=we
think ^vb+vprv+++=think
about ^in++++=about
speciation ^nn+nom+++=speciation.
. ^zz++++=EXTRAWORD
Apparently ^rb+cnj+++=Apparently,
, ^zz++++=EXTRAWORD
Payne ^np++++=Payne,
, ^zz++++=EXTRAWORD
Sorenson ^np+++??+=Sorenson,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
colleagues ^nns++++=colleagues,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
described ^vprf+++xvbnx+=described
a ^at++++=a
system ^nn++++=system
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=has
the ^ati++++=the
general ^jj+atrb+++=general
trappings ^nns++++=trappings
of ^in++++=of
sympatric ^jj+atrb+++=sympatric
speciation ^nn+nom+++=speciation;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
meets ^vbz++++=meets
all ^rb++++=all
the ^ati++++=the
criteria ^nns++++=criteria
set ^vbd+++xvbn+=set
down ^rb+phrv+++=down
by ^in++++=by
Coyne ^np+++??+=Coyne
it ^pp3+it+++=it
meets ^vbz++++=meets
all ^rb++++=all
the ^ati++++=the
criteria ^nns++++=criteria
set ^vbd+++xvbn+=set
down ^rb+phrv+++=down
by ^in++++=by
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr
and ^cc++++=and,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
relies ^vbz++++=relies
upon ^in++++=upon
a ^at++++=a
novel ^nn++++=novel
system ^nn++++=system
to ^to++++=to
promote ^vbi++++=promote
assortative ^jj+atrb+++=assortative
mating ^nn++++=mating:
: ^zz++++=EXTRAWORD
song ^nn++++=song
learning ^vwbg+vprv++xvbg+=learning.
. ^zz++++=EXTRAWORD
With ^in++++=With
further ^jjb+atrb+++=further
evidence ^nn+nom+++=evidence
and ^cc++++=and
advancements ^nns+nom+++=advancements
in ^in++++=in
methodology ^nn++++=methodology,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
may ^md+pos+++=may
soon ^rb+tm+++=soon
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
demonstrate ^nn+nom+++=demonstrate
a ^at++++=a
more ^rbr++++=more
complex ^jj+atrb+++=complex
model ^nn++++=model
for ^in++++=for
this ^dt+dem+++=this
speciation ^nn+nom+++=speciation
event ^nn++++=event,
, ^zz++++=EXTRAWORD
further ^jjb++++=further
supporting ^jj+++xvbg+=supporting
a ^at++++=a
hypothesis ^nn++++=hypothesis
of ^in++++=of
sympatric ^jj+atrb+++=sympatric
speciation ^nn+nom+++=speciation.
. ^zz++++=EXTRAWORD
As ^in++++=As
of ^in"++++=of
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appears ^vbz+seem+++=appears
that ^tht+vcmp+++=that
' ^zz++++='cultural'
cultural ^jj++++=EXTRAWORD
' ^zz++++=EXTRAWORD
traits ^nns++++=traits
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
serve ^vb++++=serve
as ^in++++=as
the ^ati++++=the
initial ^jj+atrb+++=initial
step ^nn++++=step
towards ^in++++=towards
speciation ^nn+nom+++=speciation.
. ^zz++++=EXTRAWORD
Concerning ^in++++=Concerning
this ^dt+dem+++=this
particular ^jj+atrb+++=particular
case ^nn++++=case,
, ^zz++++=EXTRAWORD
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr
have ^vb+hv+aux++=have
written ^vprf+++xvbnx+=written
' ^zz++++='this
this ^dt+pdem+++=EXTRAWORD
constitutes ^vbz++++=constitutes
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
few ^ap++++=few
plausible ^jj+atrb+++=plausible
cases ^nns++++=cases
of ^in++++=of
sympatric ^jj+atrb+++=sympatric
speciation ^nn+nom+++=speciation'
' ^zz++++=EXTRAWORD
( ^zz++++=(222);
222 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
their ^pp$+pp3+++=their
usual ^jj+atrb+++=usual
staunch ^jj+atrb+++=staunch
skepticism ^nn+nom+++=skepticism
toward ^in++++=toward
sympatric ^jj+atrb+++=sympatric
speciation ^nn+nom+++=speciation,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
clear ^jj+atrb+++=clear
stamp ^nn++++=stamp
of ^in++++=of
approval ^nn+nom+++=approval.
. ^zz++++=EXTRAWORD
Hopefully ^rb+cnj+++=Hopefully,
, ^zz++++=EXTRAWORD
further ^jjb+atrb+++=further
systems ^nns++++=systems
will ^md+prd+++=will
support ^vb++++=support
these ^dt+dem+++=these
conclusions ^nns++++=conclusions.
. ^zz++++=EXTRAWORD
Appendix ^nn++++=Appendix:
: ^zz++++=EXTRAWORD
Table ^nn++++=TABLE
1 ^zz++++=1:
: ^zz++++=EXTRAWORD
Coyne ^np+++??+=COYNE
And ^cc++++=AND
Orr ^np++++=ORR'S
's ^$++++=EXTRAWORD
Criteria ^nns++++=CRITERIA
For ^in++++=FOR
Sympatric ^np+++??+=SYMPATRIC
Speciation ^np+nom++??+=SPECIATION
Via ^in++++=VIA
Host ^nn++++=HOST-SWITCHING:1.
- ^zz++++=EXTRAWORD
switching:1 ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Range ^nn++++=Range
overlap ^nn++++=overlap,
, ^zz++++=EXTRAWORD
complete ^jj++++=complete
or ^cc++++=or
nearly2 ^nn+++??+=nearly2.
. ^zz++++=EXTRAWORD
Differential ^jj+atrb+++=Differential
host ^nn++++=host
exploitation3 ^nn+++??+=exploitation3.
. ^zz++++=EXTRAWORD
Establishment ^nn+nom+++=Establishment
of ^in++++=of
sister ^nn++++=sister
taxa ^nn+++??+=taxa,
, ^zz++++=EXTRAWORD
by ^in++++=by
determining ^xvbg+++xvbg+=determining
a ^at++++=a
fine ^jj+atrb+++=fine
phylogenetic ^jj+atrb+++=phylogenetic
relationship4 ^nn+++??+=relationship4.
. ^zz++++=EXTRAWORD
Partial ^jj+atrb+++=Partial
reproductive ^jj+atrb+++=reproductive
isolation ^nn+nom+++=isolation,
, ^zz++++=EXTRAWORD
substantial ^jj++++=substantial
but ^cc++++=but
not ^xnot++not++=not
total5 ^nn+++??+=total5.
. ^zz++++=EXTRAWORD
Assortative ^np+++??+=Assortative
mating6 ^nn+++??+=mating6.
. ^zz++++=EXTRAWORD
Genetic ^jj+atrb+++=Genetic
adaptations ^nns+nom+++=adaptations
for ^in++++=for
specific ^jj+atrb+++=specific
host7 ^nn+++??+=host7.
. ^zz++++=EXTRAWORD
Fitness ^nns+nom+++=Fitness
advantages ^nns+nom+++=advantages
associated ^vbd+++xvbn+=associated
with ^in++++=with
specific ^jj+atrb+++=specific
host.8 ^nn+++??+=host.8.
. ^zz++++=EXTRAWORD
A ^at++++=A
very ^ql+amp+++=very
unlikely ^jj+atrb+++=unlikely
period ^nn++++=period
of ^in++++=of
allopatry ^nn++++=allopatry
summarized ^vwbn+++xvbn+=summarized
from ^in++++=from
Coyne ^np+++??+=Coyne
& ^zz++++=&
Orr ^np++++=Orr
( ^zz++++=(2004:158)
2004:158 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Figure ^nn++++=FIGURE
1 ^zz++++=1:
: ^zz++++=EXTRAWORD
Range ^nn++++=RANGE
Map ^vb++++=MAP
Synthesized ^np+++??+=SYNTHESIZED
From ^in++++=FROM
Payne ^np++++=PAYNE
( ^zz++++=(1982)
1982 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
Figure ^nn++++=FIGURE
1 ^zz++++=1:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
figure ^nn++++=figure
represents ^vbz++++=represents
the ^ati++++=the
areas ^nns++++=areas
of ^in++++=of
sympatry ^nn++++=sympatry
for ^in++++=for
five ^cd++++=five
Vidua ^np+++??+=Vidua
species ^nn++++=species
( ^zz++++=(V.
v ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
chaybeata ^nn+++??+=chaybeata,
, ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
larvaticola ^nn+++??+=larvaticola,
, ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
raricola ^nn+++??+=raricola,
, ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
funereal ^jj++++=funereal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
V ^zz++++=V.
. ^zz++++=EXTRAWORD
wilsoni ^nn+++??+=wilsoni)
) ^zz++++=EXTRAWORD
observed ^vpsv++by+xvbn+=observed
by ^in++++=by
Payne ^np++++=Payne
and ^cc++++=and
synthesized ^vpsv++agls+xvbn+=synthesized
from ^in++++=from
figures ^nns++++=figures
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
16 ^cd++++=16,
, ^zz++++=EXTRAWORD
21 ^cd++++=21,
, ^zz++++=EXTRAWORD
25 ^cd++++=25,
, ^zz++++=EXTRAWORD
49 ^cd++++=49,
, ^zz++++=EXTRAWORD
58 ^cd++++=58
( ^zz++++=(in
in ^in++++=EXTRAWORD
Payne ^np++++=Payne
1982 ^cd+date+++=1982).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
does ^vbz+doz+aux++=does
not ^xnot++not++=not
represent ^vb++++=represent
the ^ati++++=the
entire ^jjb+atrb+++=entire
range ^nn++++=range
of ^in++++=of
the ^ati++++=the
species ^nn++++=species;
; ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
chaybeata ^nn+++??+=chaybeata
has ^vbz+hvz+vrb++=has
a ^at++++=a
much ^ap++++=much
larger ^jjr+atrb+++=larger
range ^nn++++=range.
. ^zz++++=EXTRAWORD
Figure ^nn++++=FIGURE
2 ^zz++++=2:
: ^zz++++=EXTRAWORD
Phylogenetic ^np+++??+=PHYLOGENETIC
Reconstruction ^nn+nom+++=RECONSTRUCTION
Of ^in++++=OF
Viduidae ^np+++??+=VIDUIDAE
And ^cc++++=AND
Estrildidae ^np+++??+=ESTRILDIDAE
Populations ^nns+nom+++=POPULATIONS
Representing ^vwbg+++xvbg+=REPRESENTING
The ^ati++++=THE
Specific ^jj+atrb+++=SPECIFIC
Host ^nn++++=HOST-PARASITE
- ^zz++++=EXTRAWORD
parasite ^nn++++=EXTRAWORD
Pair(s ^np+++??+=PAIR(S)
) ^zz++++=EXTRAWORD
Figure ^nn++++=FIGURE
2 ^zz++++=2:
: ^zz++++=EXTRAWORD
" ^zz++++="Comparison
comparison ^nn++++=EXTRAWORD
of ^in++++=of
phylogenies ^nns+++??+=phylogenies
for ^in++++=for
estrildid ^nn+++??+=estrildid
finch ^np++++=finch
host ^nn++++=host
species ^nn++++=species
( ^zz++++=(left)
left ^vbd+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
brood ^nn++++=brood
parasitic ^jj+atrb+++=parasitic
Vidua ^np+++??+=Vidua
( ^zz++++=(right),
right ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
well ^rb++++=well-documented
- ^zz++++=EXTRAWORD
documented ^vbd+++xvbn+=EXTRAWORD
associations ^nns+nom+++=associations
between ^in++++=between
hosts ^nns++++=hosts
and ^cc++++=and
parasites ^nns++++=parasites
indicated ^vbd+vprv++xvbn+=indicated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
host ^nn++++=host
for ^in++++=for
each ^dt++++=each
parasitic ^jj+atrb+++=parasitic
species ^nn++++=species
is ^vbz+bez+aux++=is
indicated ^vpsv++by+xvbnx+=indicated
by ^in++++=by
a ^at++++=a
solid ^jj+atrb+++=solid
line ^nn++++=line;
; ^zz++++=EXTRAWORD
other ^ap++++=other
hosts ^nns++++=hosts
are ^vb+ber+aux++=are
indicated ^vpsv++agls+xvbnx+=indicated
with ^in++++=with
dashed ^vbd+++xvbn+=dashed
lines ^nns++++=lines
except ^in++++=except
for ^in"++++=for
V ^zz++++=V.
. ^zz++++=EXTRAWORD
macroura ^nn+++??+=macroura,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
host ^nn++++=host
generalist ^nn+nom+++=generalist.
. ^zz++++=EXTRAWORD
Trees ^nns++++=Trees
are ^vb+ber+aux++=are
drawn ^vpsv++agls+xvbnx+=drawn
to ^in++++=to
the ^ati++++=the
same ^ap++++=same
scale ^nn++++=scale
with ^in++++=with
branch ^nn++++=branch
lengths ^nns++++=lengths
proportional ^jj++++=proportional
to ^in++++=to
divergence ^nn+nom+++=divergence
times ^nns++++=times
( ^zz++++=(MY
my ^pp$+pp1+++=EXTRAWORD
= ^zz++++==
million ^cd++++=million
years ^nns++++=years)
) ^zz++++=EXTRAWORD
as ^in++++=as
estimated ^nn++++=estimated
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
analysis ^nn++++=analysis
with ^in++++=with
both ^abx++++=both
hosts ^nns++++=hosts
and ^cc++++=and
parasites ^nns++++=parasites
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Seven ^cd++++=Seven
possible ^jj+atrb+++=possible
cospeciation ^nn+nom+++=cospeciation
events ^nns++++=events
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
data ^nns++++=data
points ^nns++++=points
in ^in++++=in
Figure ^nn++++=Figure
5 ^zz++++=5
are ^vb+ber+aux++=are
numbered ^vpsv++agls+xvbnx+=numbered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
selected ^jj+atrb++xvbn+=selected
comparisons ^nns++++=comparisons
represent ^vb++++=represent
only ^rb+down+++=only
a ^at++++=a
subset ^nn+++??+=subset
of ^in++++=of
all ^rb++++=all
