Host ^nn++++=HOST-PARASITE
species ^vbz++++=species:
: ^zz++++=EXTRAWORD
the ^ati++++=the
call ^nn++++=call
of ^in++++=of
their ^pp$+pp3+++=their
host ^nn++++=host
father ^nn++++=father.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
young ^jj++++=young,
, ^zz++++=EXTRAWORD
subsequently ^rb+cnj+++=subsequently,
, ^zz++++=EXTRAWORD
imprint ^nn++++=imprint
upon ^in++++=upon
the ^ati++++=the
host ^nn++++=host
species ^nn++++=species'
' ^zz++++=EXTRAWORD
song ^nn++++=song:
: ^zz++++=EXTRAWORD
females ^nns++++=females
learn ^vb+vprv+++=learn
to ^to+vcmp+++=to
respond ^vbi++++=respond
to ^in++++=to
it ^pp3+it+++=it
and ^cc++++=and
males ^nns++++=males
learn ^vb+vprv+++=learn
to ^to+vcmp+++=to
produce ^vbi++++=produce
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
females ^nns++++=females,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
choose ^vb++++=choose
their ^pp$+pp3+++=their
conspecfic ^jj+atrb+++=conspecfic
mates ^nns++++=mates
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
song ^nn++++=song
of ^in++++=of
their ^pp$+pp3+++=their
heterospecific ^jj+atrb+++=heterospecific
host ^nn++++=host
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cycle ^nn++++=cycle
then ^rn+tm+++=then
repeats ^vbz+vpub+++=repeats,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
these ^dt+dem+++=these
now ^rn+tm+++=now
pregnant ^jj+atrb+++=pregnant
females ^nns++++=females
choose ^vb++++=choose
where ^wrb+who+++=where
to ^to++++=to
lay ^vbi++++=lay
their ^pp$+pp3+++=their
eggs ^nns++++=eggs
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
learned ^nn++++=learned
calls ^vbz++++=calls
( ^zz++++=(Payne
payne ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^in++++=To
date ^nn++++=date,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
type ^nn++++=type
of ^in++++=of
behavior ^nn++++=behavior
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
indigobirds ^nns+++??+=indigobirds
of ^in++++=of
Vidua ^np+++??+=Vidua,
, ^zz++++=EXTRAWORD
with ^in++++=with
most ^ql+emph+++=most
having ^jj+atrb++xvbg+=having
specific ^jj+atrb+++=specific
hosts ^nns++++=hosts
in ^in++++=in
Estrildidae ^np+++??+=Estrildidae
( ^zz++++=(Sorenson
sorenson ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Importantly ^rb+cnj+++=Importantly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
morphological ^jj+atrb+++=morphological
differences ^nns+nom+++=differences
amongst ^in++++=amongst
indigobirds ^nns+++??+=indigobirds
of ^in++++=of
Vidua ^np+++??+=Vidua
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
recent ^jj+atrb+++=recent
adaptation ^nn+nom+++=adaptation
that ^tht+rel+subj++=that
helps ^vbz++++=helps
their ^pp$+pp3+++=their
orphaned ^jj++++=orphaned
young ^jj++++=young
better ^jjr++++=better
exploit ^vb++++=exploit
their ^pp$+pp3+++=their
specific ^jj+atrb+++=specific
host ^nn++++=host
species ^nn++++=species;
; ^zz++++=EXTRAWORD
mouth ^nn++++=mouth
markings ^nns++++=markings
differ ^vb++++=differ
significantly ^rb+cnj+++=significantly,
, ^zz++++=EXTRAWORD
resembling ^vbg+nom++xvbg+=resembling
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
offspring ^nn++++=offspring
of ^in++++=of
the ^ati++++=the
parasitized ^jj+atrb++xvbn+=parasitized
host ^nn++++=host
( ^zz++++=(Sorenson
sorenson ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
, ^zz++++=,
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^to++++=To
counter ^vbi++++=counter
act ^nn++++=act
these ^dt+dem+++=these
markings ^nns++++=markings
some ^dti++++=some
host ^nn++++=host
species ^nn++++=species
have ^vb+hv+aux++=have
gotten ^vprf+++xvbnx+=gotten
better ^jjr++++=better
and ^cc+phrs+++=and
better ^jjr++++=better
at ^in++++=at
